生詞,冊,課-序號
養家活口,4,10-2
來自,4,10-2
熟讀,4,10-2
考古題,4,10-2
沙盤推演,4,10-2
深藍色,4,10-2
種族,4,11-1
熔爐,4,11-1
偏偏,4,11-1
肯,4,11-1
母語,4,11-1
口音,4,11-1
適應,4,11-1
了不起,4,11-1
交流,4,11-1
志工,4,11-1
縣,4,11-1
市,4,11-1
外籍,4,11-1
配偶,4,11-1
焦慮,4,11-1
溝通,4,11-1
障礙,4,11-1
良好,4,11-1
以往,4,11-1
面對,4,11-1
衝擊,4,11-1
大眾,4,11-1
難以,4,11-1
認同,4,11-1
跨國,4,11-1
大量,4,11-1
移入,4,11-1
憂慮,4,11-1
降低,4,11-1
素質,4,11-1
歧視,4,11-1
子女,4,11-1
資產,4,11-1
應,4,11-1
平等,4,11-1
相互,4,11-1
外人,4,11-1
聯絡,4,11-1
小明,4,11-1
家長日,4,11-1
氣人,4,11-1
照說,4,11-1
在…之餘,4,11-1
本地人,4,11-1
自己人,4,11-1
哪裡！哪裡！,4,11-1
漸漸,4,11-2
曾,4,11-2
嘗試,4,11-2
結構,4,11-2
產生,4,11-2
轉變,4,11-2
嬰兒,4,11-2
雙親,4,11-2
本國,4,11-2
國籍,4,11-2
大陸籍,4,11-2
其,4,11-2
比例,4,11-2
根本,4,11-2
可見,4,11-2
現有,4,11-2
分配,4,11-2
顧慮,4,11-2
學童,4,11-2
身心,4,11-2
缺乏,4,11-2
課業,4,11-2
指導,4,11-2
輔導,4,11-2
輸,4,11-2
失去,4,11-2
然而,4,11-2
觀點,4,11-2
加速,4,11-2
創下,4,11-2
紀錄,4,11-2
明顯,4,11-2
下降,4,11-2
趨勢,4,11-2
高齡化,4,11-2
世代,4,11-2
不足,4,11-2
持續,4,11-2
正視,4,11-2
國語,4,11-2
客語,4,11-2
最多數,4,11-2
總人數,4,11-2
起跑點,4,11-2
新生兒,4,11-2
生產力,4,11-2
一較長短,4,11-2
王安康,4,12-1
張定能,4,12-1
美好,4,12-1
當選,4,12-1
無所謂,4,12-1
敏感,4,12-1
化學,4,12-1
添加物,4,12-1
殘留,4,12-1
修改,4,12-1
法規,4,12-1
安養,4,12-1
河川,4,12-1
脫離,4,12-1
背景,4,12-1
領域,4,12-1
竟然,4,12-1
總統,4,12-1
保障,4,12-1
特權,4,12-1
把持,4,12-1
監督,4,12-1
罷免,4,12-1
權,4,12-1
廉能,4,12-1
富足,4,12-1
在乎,4,12-1
生命,4,12-1
財產,4,12-1
義工,4,12-1
選戰,4,12-1
承諾,4,12-1
帶領,4,12-1
力量,4,12-1
擺脫,4,12-1
困境,4,12-1
房地產,4,12-1
小自…大至…,4,12-1
是否,4,12-1
照理說,4,12-1
政治人物,4,12-1
受苦,4,12-1
富裕,4,12-2
貪汙,4,12-2
腐敗,4,12-2
政爭,4,12-2
停滯,4,12-2
上升,4,12-2
信心,4,12-2
遊民,4,12-2
外界,4,12-2
悲慘,4,12-2
日子,4,12-2
如此,4,12-2
巨大,4,12-2
無能,4,12-2
冷漠,4,12-2
學者,4,12-2
階層,4,12-2
自然,4,12-2
阻止,4,12-2
遙遠,4,12-2
無論,4,12-2
明明,4,12-2
骯髒,4,12-2
顧,4,12-2
自身,4,12-2
政客,4,12-2
縱容,4,12-2
使得,4,12-2
工廠,4,12-2
密集,4,12-2
遭受,4,12-2
困苦,4,12-2
老人年金,4,12-2
無家可歸,4,12-2
以…為…,4,12-2
漠不關心,4,12-2
發言權,4,12-2
影響力,4,12-2
官商勾結,4,12-2
貧富懸殊,4,12-2
息息相關,4,12-2
言論,5,1-1
界線,5,1-1
臉書,5,1-1
則,5,1-1
留言,5,1-1
停止,5,1-1
決策,5,1-1
無罪,5,1-1
遭,5,1-1
慘,5,1-1
反應,5,1-1
發表,5,1-1
司法,5,1-1
判決,5,1-1
無能,5,1-1
幸運,5,1-1
顧名思義,5,1-1
接收,5,1-1
來源,5,1-1
處罰,5,1-1
包容,5,1-1
不論,5,1-1
展現,5,1-1
胡作非為,5,1-1
一旦,5,1-1
工具,5,1-1
洗腦,5,1-1
權益,5,1-1
盲點,5,1-1
立場,5,1-1
平衡,5,1-1
辯護,5,1-1
無理取鬧,5,1-1
指正,5,1-1
一來一往,5,1-1
真理,5,1-1
越辯越明,5,1-1
共識,5,1-1
亂象,5,1-1
攻擊,5,1-1
自殺,5,1-1
過於,5,1-1
事實上,5,1-1
仇恨,5,1-1
不實,5,1-1
謠言,5,1-1
霸凌,5,1-1
負責,5,1-1
誤解,5,1-1
意義,5,1-1
因此,5,1-1
否定,5,1-1
價值,5,1-1
封住,5,1-1
嘴,5,1-1
混亂,5,1-1
唯一,5,1-1
濫用,5,1-2
並非,5,1-2
不用,5,1-2
抓,5,1-2
關,5,1-2
名嘴,5,1-2
根據,5,1-2
隨意,5,1-2
鄉民,5,1-2
匿名,5,1-2
正義,5,1-2
惡意,5,1-2
情緒,5,1-2
成,5,1-2
護身符,5,1-2
傳播,5,1-2
驚人,5,1-2
股,5,1-2
有心,5,1-2
無意,5,1-2
威脅,5,1-2
諷刺,5,1-2
得,5,1-2
憂鬱症,5,1-2
則,5,1-2
閉嘴,5,1-2
回應,5,1-2
傷害,5,1-2
破壞,5,1-2
管,5,1-2
聰明,5,1-2
標題,5,1-2
懷疑,5,1-2
模糊,5,1-2
擅長,5,1-2
灰色,5,1-2
地帶,5,1-2
法院,5,1-2
確定,5,1-2
個人,5,1-2
承擔,5,1-2
和諧,5,1-2
制定,5,1-2
嚴格,5,1-2
約束,5,1-2
基改,5,2-1
農糧,5,2-1
廣播節目,5,2-1
主持人,5,2-1
聽眾,5,2-1
播,5,2-1
蟲子,5,2-1
隔壁,5,2-1
回答,5,2-1
死,5,2-1
話題,5,2-1
危害,5,2-1
贊成,5,2-1
各式各樣,5,2-1
只不過,5,2-1
種子,5,2-1
比如說,5,2-1
維他命,5,2-1
蔬果,5,2-1
抗癌,5,2-1
過敏,5,2-1
花生,5,2-1
科學家,5,2-1
豐富,5,2-1
享用,5,2-1
達到,5,2-1
預防,5,2-1
疾病,5,2-1
效果,5,2-1
好幾（種）,5,2-1
警告,5,2-1
突破,5,2-1
糧食,5,2-1
早晚,5,2-1
不僅,5,2-1
農作物,5,2-1
抵抗力,5,2-1
蟲害,5,2-1
產量,5,2-1
飢荒,5,2-1
含有,5,2-1
大豆,5,2-1
玉米,5,2-1
密不可分,5,2-1
生產,5,2-1
缺少,5,2-1
依賴,5,2-1
進口,5,2-1
危機,5,2-1
生物科技,5,2-1
機構,5,2-1
證據,5,2-1
證明,5,2-1
人體,5,2-1
結論,5,2-1
生長,5,2-1
除草劑,5,2-1
物質,5,2-1
怪物,5,2-1
原料,5,2-1
包裝,5,2-1
標示,5,2-1
一切,5,2-1
昆蟲,5,2-2
不孕,5,2-2
罹患,5,2-2
癌症,5,2-2
蘋果,5,2-2
鮭魚,5,2-2
不知不覺,5,2-2
辨別,5,2-2
安心,5,2-2
雜誌,5,2-2
編輯,5,2-2
後果,5,2-2
雜草,5,2-2
某,5,2-2
專利,5,2-2
農民,5,2-2
收購,5,2-2
居高不下,5,2-2
絕對,5,2-2
符合,5,2-2
非,5,2-2
事實,5,2-2
種植,5,2-2
總用量,5,2-2
公斤,5,2-2
即便,5,2-2
兼,5,2-2
欺騙,5,2-2
國人,5,2-2
立法,5,2-2
以,5,2-2
維護,5,2-2
神奇,5,2-2
手段,5,2-2
付出,5,2-2
代價,5,2-2
掌握,5,2-2
風氣,5,3-1
開放,5,3-1
意外,5,3-1
存在,5,3-1
內在,5,3-1
特質,5,3-1
勝,5,3-1
醜,5,3-1
顏值,5,3-1
他人,5,3-1
不盡然,5,3-1
要求,5,3-1
整出,5,3-1
鼻子,5,3-1
皮膚,5,3-1
細,5,3-1
腰,5,3-1
豐胸,5,3-1
高挺,5,3-1
水汪汪,5,3-1
參賽,5,3-1
眼光,5,3-1
矛盾,5,3-1
外貌,5,3-1
美滿,5,3-1
職涯,5,3-1
以貌取人,5,3-1
不計一切,5,3-1
英俊,5,3-1
獲得,5,3-1
青睞,5,3-1
對象,5,3-1
智力,5,3-1
同樣,5,3-1
團隊,5,3-1
金錢,5,3-1
投資,5,3-1
行為,5,3-1
儘管,5,3-1
日漸,5,3-1
失敗,5,3-1
胸部,5,3-1
大小不一,5,3-1
變形,5,3-1
失血,5,3-1
過,5,3-1
飽受,5,3-1
後遺症,5,3-1
副作用,5,3-1
多麼,5,3-1
冒險,5,3-1
如今,5,3-1
捷徑,5,3-1
進而,5,3-1
謹慎,5,3-1
看待,5,3-1
吹,5,3-2
旅遊,5,3-2
極具,5,3-2
潛力,5,3-2
理由,5,3-2
天性,5,3-2
列入,5,3-2
考量,5,3-2
公關,5,3-2
時尚,5,3-2
產業,5,3-2
眼皮,5,3-2
精神奕奕,5,3-2
違反,5,3-2
假,5,3-2
造假,5,3-2
標籤,5,3-2
優勢,5,3-2
理解,5,3-2
生來,5,3-2
差異,5,3-2
天生,5,3-2
後天,5,3-2
長相,5,3-2
平平,5,3-2
醫學,5,3-2
縮小,5,3-2
差距,5,3-2
無疑,5,3-2
器材,5,3-2
藥品,5,3-2
大幅,5,3-2
事先,5,3-2
評估,5,3-2
患者,5,3-2
動機,5,3-2
狀態,5,3-2
執行,5,3-2
身體髮膚受之父母,5,3-2
剪,5,3-2
理會,5,3-2
有何不可,5,3-2
刪減,5,4-1
鬥牛,5,4-1
街頭,5,4-1
舉,5,4-1
示威,5,4-1
主張,5,4-1
保存,5,4-1
廢止,5,4-1
引發,5,4-1
正反,5,4-1
兩方,5,4-1
激烈,5,4-1
具有,5,4-1
祭品,5,4-1
全民,5,4-1
座,5,4-1
鬥牛場,5,4-1
馬德里,5,4-1
至今,5,4-1
鬥牛士,5,4-1
華麗,5,4-1
服飾,5,4-1
一面,5,4-1
披風,5,4-1
激怒,5,4-1
公牛,5,4-1
優雅,5,4-1
姿勢,5,4-1
結合,5,4-1
過人,5,4-1
熟練,5,4-1
崇拜,5,4-1
旺季,5,4-1
遊客,5,4-1
前往,5,4-1
觀賞,5,4-1
奔牛節,5,4-1
重頭戲,5,4-1
狂奔,5,4-1
歐元,5,4-1
必要,5,4-1
獨特,5,4-1
魅力,5,4-1
戲劇,5,4-1
無數,5,4-1
靈感,5,4-1
諾貝爾,5,4-1
得主,5,4-1
作家,5,4-1
海明威,5,4-1
觀看,5,4-1
小說,5,4-1
舉世聞名,5,4-1
推廣,5,4-1
遺產,5,4-1
由來已久,5,4-1
過時,5,4-2
不利,5,4-2
刺,5,4-2
觀眾,5,4-2
轉播,5,4-2
幕,5,4-2
血淋淋,5,4-2
畫面,5,4-2
頭,5,4-2
死亡,5,4-2
折磨,5,4-2
賠上,5,4-2
俗話,5,4-2
道理,5,4-2
自私,5,4-2
虐待,5,4-2
開設,5,4-2
課程,5,4-2
教導,5,4-2
享有,5,4-2
不人道,5,4-2
無辜,5,4-2
寶貴,5,4-2
提升,5,4-2
社群,5,4-2
殘忍,5,4-2
刊登,5,4-2
高喊,5,4-2
顯示,5,4-2
高達,5,4-2
僅,5,4-2
無須,5,4-2
巴塞隆納,5,4-2
宣布,5,4-2
娛樂,5,4-2
入場,5,4-2
澈底,5,4-2
代理孕母,5,5-1
案例,5,5-1
名,5,5-1
同志,5,5-1
心願,5,5-1
自願,5,5-1
對,5,5-1
委託,5,5-1
龍鳳胎,5,5-1
遺棄,5,5-1
缺陷,5,5-1
任,5,5-1
丈夫,5,5-1
懷孕,5,5-1
毛遂自薦,5,5-1
日新月異,5,5-1
倫理,5,5-1
整合,5,5-1
合法化,5,5-1
需求,5,5-1
一線希望,5,5-1
惡夢,5,5-1
看似,5,5-1
費盡,5,5-1
千辛萬苦,5,5-1
因素,5,5-1
皆,5,5-1
承受,5,5-1
不得已,5,5-1
代孕,5,5-1
婚外情,5,5-1
破碎,5,5-1
悲劇,5,5-1
雙方,5,5-1
渴望,5,5-1
供需,5,5-1
利人利己,5,5-1
雙贏,5,5-1
反觀,5,5-1
連續,5,5-1
排名,5,5-1
倒數,5,5-1
始終,5,5-1
忽視,5,5-1
夫妻,5,5-1
協助,5,5-1
長輩,5,5-1
忍受,5,5-1
如願,5,5-1
自主權,5,5-1
固然,5,5-2
交易,5,5-2
屬,5,5-2
族群,5,5-2
等於,5,5-2
階級,5,5-2
間接,5,5-2
錯誤,5,5-2
性別,5,5-2
抽菸,5,5-2
胎兒,5,5-2
不良,5,5-2
分離,5,5-2
契約,5,5-2
仲介,5,5-2
角色,5,5-2
涉及,5,5-2
規範,5,5-2
黑白不分,5,5-2
是非不明,5,5-2
紛紛,5,5-2
精子,5,5-2
搞定,5,5-2
獨一無二,5,5-2
總之,5,5-2
死刑,5,6-1
存廢,5,6-1
爭議,5,6-1
僵局,5,6-1
各自,5,6-1
嚇阻,5,6-1
隔離,5,6-1
罪犯,5,6-1
隨機,5,6-1
殺害,5,6-1
黑心,5,6-1
案件,5,6-1
法官,5,6-1
判,5,6-1
有期徒刑,5,6-1
無期徒刑,5,6-1
死者,5,6-1
交代,5,6-1
彌補,5,6-1
家屬,5,6-1
或者,5,6-1
犯人,5,6-1
出獄,5,6-1
把,5,6-1
尺,5,6-1
現行,5,6-1
假釋,5,6-1
永久,5,6-1
害怕,5,6-1
報復,5,6-1
納稅,5,6-1
懲罰,5,6-1
犯罪,5,6-1
罰單,5,6-1
闖紅燈,5,6-1
開,5,6-1
同理,5,6-1
換句話說,5,6-1
維持,5,6-1
相較於,5,6-1
人權,5,6-1
廢除,5,6-1
被害人,5,6-1
孤兒,5,6-1
不然,5,6-1
毀,5,6-1
氣憤,5,6-1
恨,5,6-1
報仇,5,6-1
便宜,5,6-1
置身事外,5,6-1
放下,5,6-1
凶手,5,6-1
感同身受,5,6-1
生前,5,6-1
恐懼,5,6-1
心痛,5,6-1
天平,5,6-1
衡量,5,6-1
坦白,5,6-1
撫慰,5,6-1
剛剛好,5,6-1
無濟於事,5,6-2
致力,5,6-2
推動,5,6-2
漫漫長路,5,6-2
刑罰,5,6-2
顯得,5,6-2
費,5,6-2
心力,5,6-2
冤枉,5,6-2
槍決,5,6-2
犯案,5,6-2
充足,5,6-2
保證,5,6-2
誤判,5,6-2
失誤,5,6-2
無價,5,6-2
賠償,5,6-2
善良,5,6-2
一面,5,6-2
可貴,5,6-2
同情,5,6-2
換不回,5,6-2
和解,5,6-2
認錯,5,6-2
重新,5,6-2
大愛,5,6-2
感受,5,6-2
只是,5,6-2
一命還一命,5,6-2
好受,5,6-2
也就是說,5,6-2
歐盟,5,6-2
潮流,5,6-2
意識到,5,6-2
唯有,5,6-2
身旁,5,6-2
打造,5,6-2
根本,5,6-2
傷腦筋,5,7-1
受益,5,7-1
財富,5,7-1
思考,5,7-1
清晨,5,7-1
同齡,5,7-1
遇上,5,7-1
白工,5,7-1
沖走 ,5,7-1
(一)大半,5,7-1
慘重,5,7-1
值錢,5,7-1
村,5,7-1
可憐,5,7-1
相依為命,5,7-1
一身病痛,5,7-1
懂事,5,7-1
主動,5,7-1
援助,5,7-1
口袋,5,7-1
吃力,5,7-1
家產,5,7-1
一無所有,5,7-1
對於,5,7-1
累積,5,7-1
貧戶,5,7-1
袖手旁觀,5,7-1
調整,5,7-1
創造,5,7-1
津貼,5,7-1
等同,5,7-1
補貼,5,7-1
分子,5,7-1
舉例,5,7-1
工資,5,7-1
完善,5,7-1
出手,5,7-1
大方,5,7-1
在於,5,7-1
進行,5,7-1
共享,5,7-1
倘若,5,7-1
不服,5,7-1
稅收,5,7-1
生存,5,7-1
提心吊膽,5,7-1
警力,5,7-1
治安,5,7-1
哈佛大學,5,7-2
課堂,5,7-2
心臟,5,7-2
肺臟,5,7-2
腎臟,5,7-2
急迫,5,7-2
器官,5,7-2
移植,5,7-2
捐贈,5,7-2
突然,5,7-2
全身,5,7-2
麻醉,5,7-2
抽,5,7-2
迫切,5,7-2
眾人,5,7-2
奪取,5,7-2
堂,5,7-2
奮鬥,5,7-2
犧牲,5,7-2
埋,5,7-2
繳稅單,5,7-2
無所事事,5,7-2
短暫,5,7-2
拼,5,7-2
醒,5,7-2
苦笑,5,7-2
歪理,5,7-2
米蟲,5,7-2
仍舊,5,7-2
劫富濟貧,5,7-2
強制,5,7-2
奪走,5,7-2
被迫,5,7-2
捐款,5,7-2
眼紅,5,7-2
分享,5,7-2
成果,5,7-2
不勞而獲,5,7-2
依靠,5,7-2
拉,5,7-2
貧窮,5,7-2
強盜,5,7-2
打擊,5,7-2
創富,5,7-2
介入,5,7-2
左右為難,5,8-1
難民,5,8-1
男童,5,8-1
溺死,5,8-1
震驚,5,8-1
接連,5,8-1
事件,5,8-1
不滿,5,8-1
分擔,5,8-1
化,5,8-1
轉機,5,8-1
海面,5,8-1
難以數計,5,8-1
屍體,5,8-1
怵目驚心,5,8-1
冒,5,8-1
聯合國,5,8-1
止,5,8-1
庇護,5,8-1
人數,5,8-1
面臨,5,8-1
團結,5,8-1
召開,5,8-1
高峰會,5,8-1
領袖,5,8-1
消除,5,8-1
仇外,5,8-1
前-,5,8-1
歐巴馬,5,8-1
會議,5,8-1
主義,5,8-1
受害者,5,8-1
向來,5,8-1
單一,5,8-1
共同,5,8-1
排外,5,8-1
融入,5,8-1
收容,5,8-1
或許,5,8-1
勞動力,5,8-1
轉化,5,8-1
里約,5,8-1
奧運,5,8-1
首度,5,8-1
代表隊,5,8-1
逃離,5,8-1
戰火,5,8-1
殘障,5,8-1
忘掉,5,8-1
英雄,5,8-1
身分,5,8-1
索馬利亞,5,8-1
之後,5,8-1
參選,5,8-1
膚色,5,8-1
早日,5,8-1
扶持,5,8-1
優先,5,8-2
無力,5,8-2
安置,5,8-2
支出,5,8-2
導致,5,8-2
賦稅,5,8-2
居民,5,8-2
對立,5,8-2
罷了,5,8-2
德國,5,8-2
每況愈下,5,8-2
拖垮,5,8-2
忽略,5,8-2
一一,5,8-2
過濾,5,8-2
有機可乘,5,8-2
接二連三,5,8-2
衝突,5,8-2
升高,5,8-2
在在,5,8-2
設置,5,8-2
難民營,5,8-2
關閉,5,8-2
邊界,5,8-2
通往,5,8-2
交託,5,8-2
人口,5,8-2
販子,5,8-2
助長,5,8-2
支付,5,8-2
總理,5,8-2
梅克爾,5,8-2
承認,5,8-2
低估,5,8-2
和平,5,8-2
對策,5,8-2
販運,5,8-2
首要之務,5,8-2
核電廠,5,9-1
熱烈,5,9-1
乃至,5,9-1
遠處,5,9-1
輻射,5,9-1
外洩,5,9-1
爆炸,5,9-1
危言聳聽,5,9-1
致命,5,9-1
退燒,5,9-1
行之有年,5,9-1
三哩島,5,9-1
烏克蘭,5,9-1
車諾比,5,9-1
福島,5,9-1
核災,5,9-1
核電,5,9-1
列為,5,9-1
等級,5,9-1
位於,5,9-1
海嘯,5,9-1
洪水,5,9-1
數百萬,5,9-1
及時,5,9-1
顆,5,9-1
炸彈,5,9-1
立即,5,9-1
令,5,9-1
擔憂,5,9-1
歐洲癌症護理雜誌,5,9-1
數字,5,9-1
周圍,5,9-1
罹癌,5,9-1
偏,5,9-1
青少年,5,9-1
細胞,5,9-1
製造,5,9-1
廢料,5,9-1
可行,5,9-1
偏遠,5,9-1
任誰,5,9-1
因應,5,9-1
再生能源,5,9-1
妥善,5,9-1
頭痛,5,9-1
無解,5,9-1
難題,5,9-1
正確,5,9-1
環保,5,9-2
聯想,5,9-2
事故,5,9-2
運作,5,9-2
疏失,5,9-2
視為,5,9-2
一概而論,5,9-2
定時,5,9-2
風力,5,9-2
水力,5,9-2
火力,5,9-2
太陽能,5,9-2
相比,5,9-2
機率,5,9-2
雷,5,9-2
碳,5,9-2
排放量,5,9-2
有利,5,9-2
二氧化碳,5,9-2
溫室,5,9-2
效應,5,9-2
河流,5,9-2
魚類,5,9-2
噪音,5,9-2
地熱,5,9-2
成熟,5,9-2
解決之道,5,9-2
收取,5,9-2
高額,5,9-2
惹,5,9-2
民怨,5,9-2
工業,5,9-2
停擺,5,9-2
倒退,5,9-2
效率,5,9-2
供,5,9-2
外商,5,9-2
優良,5,9-2
民生,5,9-2
效益,5,9-2
設備,5,9-2
隱憂,5,9-2
綠色,5,9-2
替代,5,9-2
同性,5,10-1
主播,5,10-1
記者,5,10-1
連線,5,10-1
傳達,5,10-1
陣線,5,10-1
發起,5,10-1
盡快,5,10-1
同性戀,5,10-1
異性戀,5,10-1
相同,5,10-1
相愛,5,10-1
核心,5,10-1
伴侶,5,10-1
無關,5,10-1
打破,5,10-1
平權,5,10-1
藉由,5,10-1
節稅,5,10-1
病危,5,10-1
簽署,5,10-1
文件,5,10-1
彼此,5,10-1
親密,5,10-1
伙伴,5,10-1
陌生,5,10-1
性病,5,10-1
偏見,5,10-1
身上,5,10-1
異性,5,10-1
有情人終成眷屬,5,10-1
末日,5,10-1
擴大,5,10-1
範圍,5,10-1
心聲,5,10-1
法案,5,10-1
鏡頭,5,10-2
聯邦,5,10-2
彩虹,5,10-2
旗,5,10-2
時刻,5,10-2
駐外,5,10-2
歡慶,5,10-2
擠進,5,10-2
生物,5,10-2
本能,5,10-2
繁衍,5,10-2
尋找,5,10-2
交配,5,10-2
法則,5,10-2
定義,5,10-2
互補,5,10-2
組合,5,10-2
全體,5,10-2
詞彙,5,10-2
稱呼,5,10-2
建構,5,10-2
革命,5,10-2
做為,5,10-2
無視,5,10-2
干涉,5,10-2
邏輯,5,10-2
納入,5,10-2
第三者,5,10-2
原則,5,10-2
無異,5,10-2
形式,5,10-2
亂倫,5,10-2
不倫,5,10-2
白宮,5,10-2
巴黎鐵塔,5,10-2
打上,5,10-2
燈光,5,10-2
不容忽視,5,10-2
有賴,5,10-2
各界,5,10-2
對話,5,10-2
激辯,5,10-2
交還,5,10-2
職校,6,1-1
技職,6,1-1
成功之處,6,1-1
高等,6,1-1
緊密,6,1-1
連結,6,1-1
爭相,6,1-1
典範,6,1-1
放眼,6,1-1
出版,6,1-1
總要,6,1-1
嚴陣以待,6,1-1
直言,6,1-1
分析,6,1-1
身為,6,1-1
文憑,6,1-1
一技在身,6,1-1
點出,6,1-1
比比皆是,6,1-1
理論,6,1-1
製造業,6,1-1
上工,6,1-1
關鍵,6,1-1
案,6,1-1
中、小型企業,6,1-1
投入,6,1-1
研發,6,1-1
聘請,6,1-1
高階,6,1-1
人才,6,1-1
升級,6,1-1
瑞士,6,1-1
洛桑管理學院,6,1-1
葛瑞里,6,1-1
奧地利,6,1-1
瑞典,6,1-1
提到,6,1-2
成效,6,1-2
愈,6,1-2
年度,6,1-2
評比,6,1-2
品牌,6,1-2
新興,6,1-2
經濟體,6,1-2
進修,6,1-2
逐年,6,1-2
公投,6,1-2
轉向,6,1-2
自限,6,1-2
當初,6,1-2
迫使,6,1-2
外,6,1-2
高度,6,1-2
仰賴,6,1-2
衰敗,6,1-2
保有,6,1-2
創新,6,1-2
低價,6,1-2
傾銷,6,1-2
消滅,6,1-2
俄國,6,1-2
巴西,6,1-2
非洲,6,1-2
拉丁美洲,6,1-2
遊艇,6,1-3
五金,6,1-3
達人,6,1-3
代言人,6,1-3
稱為,6,1-3
精品,6,1-3
子弟,6,1-3
唯,6,1-3
高工,6,1-3
黑手,6,1-3
起家,6,1-3
奮鬥(史),6,1-3
營業額,6,1-3
教部（＝教育部）,6,1-3
曾信哲,6,1-3
屏東,6,1-3
九如,6,1-3
洞察,6,2-1
鍥而不舍/捨,6,2-1
專精,6,2-1
開創,6,2-1
契機,6,2-1
未必,6,2-1
出發,6,2-1
特殊,6,2-1
群,6,2-1
突發奇想,6,2-1
原理,6,2-1
醫師,6,2-1
配,6,2-1
眼鏡,6,2-1
相對,6,2-1
窮困,6,2-1
任務,6,2-1
估計,6,2-1
發明,6,2-1
自行,6,2-1
度數,6,2-1
副,6,2-1
鏡片,6,2-1
充滿,6,2-1
液體,6,2-1
創見,6,2-1
原始,6,2-1
出自,6,2-1
儀器,6,2-1
製造商,6,2-1
矯正,6,2-1
視力,6,2-1
大放光明,6,2-1
影像,6,2-1
開發中國家,6,2-1
需求量,6,2-1
極,6,2-1
供不應求,6,2-1
貢獻,6,2-1
根源,6,2-1
從而,6,2-1
人群,6,2-1
牛津大學,6,2-1
喬許．席爾佛,6,2-1
場所,6,2-2
照明,6,2-2
習以為常,6,2-2
電力,6,2-2
答案,6,2-2
入夜,6,2-2
村落,6,2-2
貼補家用,6,2-2
煤油燈,6,2-2
有損,6,2-2
孩童,6,2-2
燃燒,6,2-2
呼吸道,6,2-2
單單,6,2-2
病症,6,2-2
室內,6,2-2
照亮,6,2-2
基金會,6,2-2
接,6,2-2
動用,6,2-2
人力,6,2-2
物力,6,2-2
架設,6,2-2
電纜,6,2-2
工程,6,2-2
固態光源（SSL）,6,2-2
簡稱,6,2-2
瓦,6,2-2
日光板,6,2-2
蓄電,6,2-2
電池,6,2-2
發光二極體（LED）,6,2-2
系統,6,2-2
安裝,6,2-2
群眾,6,2-2
剝奪,6,2-2
文盲,6,2-2
爾文．哈樂戴,6,2-2
卡加利大學,6,2-2
尼泊爾,6,2-2
喜馬拉雅山群,6,2-2
前所未有,6,3-1
盡情,6,3-1
揮灑,6,3-1
舞蹈家,6,3-1
描述,6,3-1
舞者,6,3-1
舞台,6,3-1
舞碼,6,3-1
傳人,6,3-1
芭蕾,6,3-1
及格,6,3-1
滿分,6,3-1
眾所皆知,6,3-1
大師,6,3-1
特地,6,3-1
解散,6,3-1
舞團,6,3-1
邀約,6,3-1
培訓,6,3-1
無,6,3-1
傳承,6,3-1
邀請,6,3-1
編舞家,6,3-1
量身打造,6,3-1
舞目,6,3-1
首席,6,3-1
舞星,6,3-1
會,6,3-1
心血,6,3-1
化為,6,3-1
作品,6,3-1
規劃,6,3-1
舞曲,6,3-1
民俗,6,3-1
生平,6,3-1
不得不,6,3-1
硬著頭皮,6,3-1
灑落,6,3-1
剎那,6,3-1
感到,6,3-1
存在感,6,3-1
報考,6,3-1
民族舞,6,3-1
終,6,3-1
上帝,6,3-1
疼愛,6,3-1
生身不息,6,3-1
許芳宜,6,3-1
勞勃．阿特曼,6,3-1
舞動世紀,6,3-1
瑪莎．葛蘭姆,6,3-1
倫敦,6,3-1
阿喀郎．汗,6,3-1
克理斯多福．惠爾敦,6,3-1
紐約市立芭蕾舞團,6,3-1
溫蒂．威倫,6,3-1
華岡藝校,6,3-1
從（來）,6,3-2
不間斷（地）,6,3-2
保送,6,3-2
扇,6,3-2
貴人,6,3-2
一眼,6,3-2
發覺,6,3-2
才華,6,3-2
痛哭流涕,6,3-2
輩子,6,3-2
公開,6,3-2
稱讚,6,3-2
下定決心,6,3-2
海綿,6,3-2
吸收,6,3-2
隻身,6,3-2
術科,6,3-2
跳舞,6,3-2
其餘,6,3-2
學科,6,3-2
憑,6,3-2
毅力,6,3-2
克服,6,3-2
語言翻譯機,6,3-2
種種,6,3-2
瞬間,6,3-2
加諸（在）,6,3-2
沖昏頭,6,3-2
評論,6,3-2
天堂,6,3-2
地獄,6,3-2
戰戰兢兢,6,3-2
當作,6,3-2
肯定,6,3-2
再次,6,3-2
何嘗,6,3-2
不自覺,6,3-2
體內,6,3-2
散,6,3-2
熟悉,6,3-2
臉孔,6,3-2
期待已久,6,3-2
固定,6,3-2
羅斯．帕克斯,6,3-2
葛蘭姆舞團,6,3-2
做人,6,4-1
心法,6,4-1
談論,6,4-1
真誠,6,4-1
讚美,6,4-1
親和力,6,4-1
笑容,6,4-1
此,6,4-1
祕訣,6,4-1
拉近距離,6,4-1
傳授,6,4-1
獨門,6,4-1
人際,6,4-1
銷售,6,4-1
暢銷,6,4-1
謙稱,6,4-1
抱持,6,4-1
哲學,6,4-1
讀者,6,4-1
踏出,6,4-1
悅耳,6,4-1
熱忱,6,4-1
不妨,6,4-1
好比,6,4-1
告別,6,4-1
記住,6,4-1
對方,6,4-1
宴會,6,4-1
