生詞,冊,課-序號
新聞,1,14-2
更,1,14-2
大家,1,14-2
小心,1,14-2
可怕,1,14-2
停,1,14-2
下雨,1,14-2
這次,1,14-2
上次,1,14-2
慢走,1,14-2
醫生,1,15-1
一直,1,15-1
流,1,15-1
鼻水,1,15-1
頭,1,15-1
痛,1,15-1
胃口,1,15-1
差,1,15-1
喉嚨,1,15-1
發炎,1,15-1
生病,1,15-1
發燒,1,15-1
感冒,1,15-1
藥,1,15-1
藥局,1,15-1
拿,1,15-1
把,1,15-1
水,1,15-1
休息,1,15-1
睡覺,1,15-1
早一點,1,15-1
臉色,1,15-2
難看,1,15-2
肚子,1,15-2
吐,1,15-2
幾,1,15-2
次,1,15-2
陪,1,15-2
看病,1,15-2
健康,1,15-2
保險,1,15-2
跟,1,15-2
油,1,15-2
冰,1,15-2
別,1,15-2
關心,1,15-2
包,1,15-2
睡,1,15-2
小時,1,15-2
怎麼了,1,15-2
不用了,1,15-2
健康中心,1,15-2
回家,1,15-2
最好,1,15-2
走,2,1-1
路人,2,1-1
幫忙,2,1-1
迷路,2,1-1
下,2,1-1
路口,2,1-1
段,2,1-1
過,2,1-1
第,2,1-1
紅綠燈,2,1-1
告訴,2,1-1
提款機,2,1-1
超商,2,1-1
應該,2,1-1
郵局,2,1-1
提,2,1-1
那邊,2,1-1
師大（師範大學）,2,1-1
和平東路,2,1-1
往前,2,1-1
右轉,2,1-1
聽起來,2,1-1
看見,2,1-1
下載,2,1-2
地圖,2,1-2
好用,2,1-2
著,2,1-2
日用品,2,1-2
經過,2,1-2
巷子,2,1-2
餓,2,1-2
一邊,2,1-2
發現,2,1-2
離,2,1-2
背包,2,1-2
正好,2,1-2
最後,2,1-2
枝,2,1-2
筆,2,1-2
本,2,1-2
本子,2,1-2
左轉,2,1-2
師大路上,2,1-2
麵店,2,1-2
還是,2,2-1
早,2,2-1
約,2,2-1
對面,2,2-1
直接,2,2-1
不必,2,2-1
換,2,2-1
車站,2,2-1
麻煩,2,2-1
趕快,2,2-1
走,2,2-1
班次,2,2-1
禮拜,2,2-1
見,2,2-1
電腦展,2,2-1
世貿展覽館,2,2-1
展覽館,2,2-1
台北101,2,2-1
台北,2,2-1
2號線,2,2-1
別急,2,2-1
飛機,2,2-2
轉機,2,2-2
機場,2,2-2
巴士,2,2-2
市區,2,2-2
下,2,2-2
交通,2,2-2
便利,2,2-2
到處,2,2-2
路線,2,2-2
複雜,2,2-2
輕鬆,2,2-2
東部,2,2-2
海邊,2,2-2
島,2,2-2
搭,2,2-2
船,2,2-2
地,2,2-2
美美,2,2-2
法國,2,2-2
歐洲,2,2-2
悠遊卡,2,2-2
綠島,2,2-2
東南邊,2,2-2
好好地,2,2-2
進步,2,3-1
早,2,3-1
考試,2,3-1
準備,2,3-1
考,2,3-1
聽寫,2,3-1
容易,2,3-1
小學,2,3-1
漢字,2,3-1
高中,2,3-1
過,2,3-1
才,2,3-1
說話,2,3-1
不夠,2,3-1
流利,2,3-1
雖然,2,3-1
環境,2,3-1
同意,2,3-1
報紙,2,3-1
麵包,2,3-1
演講,2,3-1
噢,2,3-1
活動中心,2,3-1
想起來,2,3-1
選,2,3-2
作業,2,3-2
練習,2,3-2
半夜,2,3-2
高興,2,3-2
平常,2,3-2
爬山,2,3-2
認識,2,3-2
聊天,2,3-2
文化,2,3-2
廣告,2,3-2
位,2,3-2
了解,2,3-2
生活,2,3-2
陽明山,2,3-2
外國人,2,3-2
一些,2,3-2
高美玲,2,4-1
打工,2,4-1
主任,2,4-1
介紹,2,4-1
歲,2,4-1
語言學,2,4-1
經驗,2,4-1
談,2,4-1
當,2,4-1
助教,2,4-1
上午,2,4-1
除了,2,4-1
年級,2,4-1
暑假,2,4-1
請教,2,4-1
貴,2,4-1
薪水,2,4-1
算,2,4-1
按照,2,4-1
教授,2,4-1
鐘點費,2,4-1
份,2,4-1
法文,2,4-1
亞洲,2,4-1
西班牙語,2,4-1
英文,2,4-1
三年級,2,4-1
法律,2,4-2
夠,2,4-2
履歷表,2,4-2
面談,2,4-2
華僑,2,4-2
辦公室,2,4-2
談話,2,4-2
情形,2,4-2
適合,2,4-2
說明,2,4-2
然後,2,4-2
月底,2,4-2
發,2,4-2
馬上,2,4-2
答應,2,4-2
順利,2,4-2
黃,2,4-2
沒想到,2,4-2
喜酒,2,5-1
恭喜,2,5-1
新娘,2,5-1
參加,2,5-1
婚禮,2,5-1
西裝,2,5-1
正式,2,5-1
客人,2,5-1
手,2,5-1
照相機,2,5-1
新郎,2,5-1
站,2,5-1
白,2,5-1
帥,2,5-1
禮服,2,5-1
座位,2,5-1
看起來,2,5-1
結婚,2,5-2
日子,2,5-2
親戚,2,5-2
熱鬧,2,5-2
慶祝,2,5-2
件,2,5-2
喜事,2,5-2
請客,2,5-2
紅包,2,5-2
送,2,5-2
新人,2,5-2
喜宴,2,5-2
敬酒,2,5-2
大人,2,5-2
小孩,2,5-2
不得了,2,5-2
另外,2,5-2
糖,2,5-2
離開,2,5-2
句,2,5-2
祝福,2,5-2
話,2,5-2
一會兒,2,5-2
有說有笑,2,5-2
有吃有喝,2,5-2
百年好合,2,5-2
早生貴子,2,5-2
李東健,2,6-1
搬,2,6-1
河邊,2,6-1
公園,2,6-1
腳踏車,2,6-1
正在,2,6-1
網站,2,6-1
資料,2,6-1
搬家,2,6-1
近,2,6-1
合約,2,6-1
到期,2,6-1
還好,2,6-1
光線,2,6-1
重要,2,6-1
如果,2,6-1
別的,2,6-1
合適,2,6-1
少,2,6-1
可惜,2,6-1
放,2,6-1
兩邊,2,6-1
願意,2,6-1
開,2,6-1
存,2,6-1
隨身碟,2,6-1
什麼樣,2,6-1
慢慢來,2,6-1
不急,2,6-1
相當,2,6-2
自行車,2,6-2
床,2,6-2
桌子,2,6-2
椅子,2,6-2
家具,2,6-2
而且,2,6-2
吵,2,6-2
生活費,2,6-2
低,2,6-2
留,2,6-2
長,2,6-2
討論,2,6-2
社團,2,6-2
活動,2,6-2
失望,2,6-2
放心,2,6-2
用,2,6-2
首爾,2,6-2
垃圾,2,7-1
倒,2,7-1
丟,2,7-1
收,2,7-1
以為,2,7-1
回收,2,7-1
規定,2,7-1
要不然,2,7-1
皮包,2,7-1
跑,2,7-1
追,2,7-1
有趣,2,7-1
不壞,2,7-1
天天,2,7-1
汽水罐,2,7-1
紙杯,2,7-1
放下,2,7-1
走出來,2,7-1
怎麼辦,2,7-1
聊,2,7-2
忽然,2,7-2
聲音,2,7-2
奇怪,2,7-2
袋子,2,7-2
輛,2,7-2
一定,2,7-2
地點,2,7-2
為了,2,7-2
保護,2,7-2
分類,2,7-2
